id,LEVEL3_COD,invasive,e.species,e.n,e.sd,n.species,n.n,n.sd,e.vector,n.vector,continent,n,longitude,latitude,growthform,latitude.abs,yi,vi,phenology
192,MXE,Tamarix ramosissima,Tamarix ramosissima,31,62.569277789199234,Antigonon leptopus,314,82.93818273329961,139.57654099738988,239.86483587813888,Northern America,13418,-102.97602821375715,25.815236510025812,Woody,25.815236510025812,1.2299449698593519,0.03763519039755176,Flowering
193,MXN,Leucaena leucocephala,Leucaena leucocephala,143,59.51034786076834,Desmanthus fruticosus,51,38.13136975771324,108.65659822817469,281.06369803325777,Northern America,8662,-111.30260868193743,28.457237847861663,Woody,28.457237847861663,3.1365094307133212,0.05195572489560623,Flowering
194,MXN,Tamarix ramosissima,Tamarix ramosissima,247,71.76422461752666,Frankenia palmeri,81,81.51266100865726,108.65214890519121,61.277023295377276,Northern America,8662,-111.30260868193743,28.457237847861663,Woody,28.457237847861663,-0.6363650238200995,0.017011579757598247,Flowering
195,MXN,Tamarix ramosissima,Tamarix ramosissima,247,71.76422461752666,Frankenia salina,28,46.02638151821824,108.65214890519121,195.5175452090364,Northern America,8662,-111.30260868193743,28.457237847861663,Woody,28.457237847861663,1.2438497020499466,0.042575890676218475,Flowering
196,MXS,Spathodea campanulata,Spathodea campanulata,65,72.1839702064595,Crescentia alata,50,74.02059357289026,364.0961032839448,217.03363031988562,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,-2.001531152870077,0.052802558671178085,Flowering
197,MXS,Spathodea campanulata,Spathodea campanulata,65,72.1839702064595,Handroanthus chrysanthus,43,52.6808788335501,4.096103283944789,87.51272657148871,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,1.2711300958912577,0.04612085397088393,Flowering
198,MXS,Spathodea campanulata,Spathodea campanulata,65,72.1839702064595,Handroanthus impetiginosus,25,56.77101965962329,364.0961032839448,359.81229311355446,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,-0.06216039735019604,0.0554060815790528,Flowering
199,MXS,Spathodea campanulata,Spathodea campanulata,65,72.1839702064595,Roseodendron donnell-smithii,124,41.05108344432453,4.096103283944789,79.22565306095792,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,1.3915037816764995,0.028571572715816954,Flowering
200,MXS,Spathodea campanulata,Spathodea campanulata,65,72.1839702064595,Tabebuia rosea,234,40.11162446899575,4.096103283944789,94.88594960097481,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,1.854343440451354,0.025408269482776788,Flowering
201,NAT,Acacia mearnsii,Acacia mearnsii,24,35.229546734054246,Albizia adianthifolia,41,33.270483593775836,304.1955875458791,282.58926454294505,Africa,6772,30.735401418189262,-28.702692731023234,Woody,28.702692731023234,-0.6279021276780273,0.06908968812251026,Flowering
202,NAT,Leucaena leucocephala,Leucaena leucocephala,25,65.9924967529661,Dichrostachys cinerea,115,52.90003654558928,334.27691926981237,369.11320917010397,Africa,6772,30.735401418189262,-28.702692731023234,Woody,28.702692731023234,0.625392637041885,0.05009249485414948,Flowering
203,NBR,Lythrum salicaria,Lythrum salicaria,337,20.64680075576029,Epilobium angustifolium,287,18.032927223189738,220.26355684288401,205.17357516412935,Northern America,1957,-66.3645542159566,46.62410431026089,Herbaceous,46.62410431026089,-0.7733673110419232,0.00693092399718977,Flowering
204,NBR,Reynoutria japonica,Reynoutria japonica,51,10.692850568299786,Polygonum cilinode,33,18.001589472274716,252.45218683755246,196.95728705172436,Northern America,1957,-66.3645542159566,46.62410431026089,Herbaceous,46.62410431026089,-3.925743650738129,0.14164577350761098,Flowering
205,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia alifanus,212,28.040506059370635,213.0549340884828,186.24969348637433,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,-0.9550235821976631,0.04509463312839052,Flowering
206,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia lutea,81,16.937748932630587,213.0549340884828,159.84055644970636,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,-2.6484317321481274,0.08358380924888008,Flowering
207,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia mariana,245,29.34564864668751,213.0549340884828,197.62194406590652,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,-0.5275130384298525,0.04305658440927403,Flowering
208,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia nashii,56,27.45110921000619,213.0549340884828,213.18950754834168,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,0.004856351929836063,0.056318825124498796,Flowering
209,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia petiolata,78,27.270198170639645,213.0549340884828,219.02935366061132,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,0.21711943333868752,0.05150868997596144,Flowering
210,NCA,Lythrum salicaria,Lythrum salicaria,26,27.44779361043782,Rhexia virginica,64,25.602190659180803,213.0549340884828,213.19173994239256,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,0.005188876778398053,0.05408668804177303,Flowering
211,NCA,Pueraria montana,Pueraria montana,160,20.040569275395324,Amphicarpaea bracteata,113,19.53098059956326,232.32786514495047,240.72811493847658,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,0.4224065179966885,0.015426347387409767,Flowering
212,NCA,Reynoutria japonica,Reynoutria japonica,114,32.18708469209686,Fallopia scandens,32,18.958851438405702,212.32287281316616,246.00308222305517,Northern America,4421,-79.37911244449232,35.56230648824628,Herbaceous,35.56230648824628,1.1228455152940187,0.04433967657530075,Flowering
213,NEB,Lythrum salicaria,Lythrum salicaria,49,23.56295312374887,Oenothera serrulata,28,21.451696210556083,218.2448605279827,176.32450786843475,Northern America,2318,-99.77631240044919,41.538447126836374,Herbaceous,41.538447126836374,-1.8181279134304946,0.07758731332761212,Flowering
214,NEB,Lythrum salicaria,Lythrum salicaria,49,23.56295312374887,Oenothera suffrutescens,33,21.28542112544464,218.2448605279827,171.0836216366284,Northern America,2318,-99.77631240044919,41.538447126836374,Herbaceous,41.538447126836374,-2.0599080159396443,0.07658449255694863,Flowering
215,NET,Reynoutria japonica,Reynoutria japonica,21,15.06362136004503,Rumex acetosella,20,31.046292889635776,249.43280119564855,162.38499542289273,Europe,2924,5.589619058173331,52.24780414427098,Herbaceous,52.24780414427098,-3.5264057980631254,0.24927194826067234,Flowering
216,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum corymbosum,35,17.56113901956191,140.0830615115963,291.59315646739805,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,1.9564186703525877,0.05121381375273044,Flowering
217,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum fasciculatum,239,45.92390658924525,140.0830615115963,118.51368992918471,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,-0.3468859515988525,0.013616745648010284,Flowering
218,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum heermannii,83,56.49674884497218,140.0830615115963,231.4587649902444,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,1.199611585964966,0.025074645635530458,Flowering
219,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum sphaerocephalum,39,18.004562089267388,140.0830615115963,165.9073720972113,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,0.33784114470842586,0.03528850476102605,Flowering
220,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum umbellatum,520,33.410371956381844,140.0830615115963,178.6684476299136,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,0.813347052370083,0.01170903477118897,Flowering
221,NEV,Tamarix ramosissima,Tamarix ramosissima,108,87.86941260448646,Eriogonum wrightii,29,23.095935136611757,140.0830615115963,270.36043191090124,Northern America,4409,-116.628005336537,39.3313322644737,Woody,39.3313322644737,1.6413108026665209,0.05357377390531322,Flowering
222,NSC,Lythrum salicaria,Lythrum salicaria,327,16.48139655480481,Rhexia virginica,143,13.078681481549072,214.92517649362122,224.35615890420277,Northern America,1970,-63.339539817276645,45.15180390533917,Herbaceous,45.15180390533917,0.6063813899243838,0.010442279468591765,Flowering
223,NSC,Reynoutria japonica,Reynoutria japonica,133,10.727908074835454,Polygonum aviculare,21,24.494805266672884,253.91970773384304,268.8536450261924,Northern America,1970,-63.339539817276645,45.15180390533917,Herbaceous,45.15180390533917,1.1110330324194708,0.05914561863466909,Flowering
224,NSC,Reynoutria japonica,Reynoutria japonica,133,10.727908074835454,Polygonum cilinode,58,21.561391880521803,253.91970773384304,196.00284766407034,Northern America,1970,-63.339539817276645,45.15180390533917,Herbaceous,45.15180390533917,-3.8840747949897496,0.06425241979255028,Flowering
225,NSW,Hedychium gardnerianum,Hedychium gardnerianum,88,29.74939232201541,Alpinia caerulea,22,18.09781884705586,403.1969512436749,352.5320665602371,Australasia,8290,147.02687082013836,-32.17371489470743,Herbaceous,32.17371489470743,-1.8053725697195349,0.07163350052498053,Flowering
226,NSW,Sphagneticola trilobata,Sphagneticola trilobata,32,72.54497680489418,Sigesbeckia orientalis,169,66.5434954261052,54.374027542860766,90.62670865109868,Australasia,8290,147.02687082013836,-32.17371489470743,Herbaceous,32.17371489470743,0.5349427271514592,0.037879009816378886,Flowering
227,NWH,Lythrum salicaria,Lythrum salicaria,478,21.680271615213858,Rhexia virginica,21,19.32644599890355,221.14456604838074,223.76544840580172,Northern America,2506,-71.58209452177717,43.68368109221787,Herbaceous,43.68368109221787,0.12120720725697699,0.04972581845660037,Flowering
228,NWH,Reynoutria japonica,Reynoutria japonica,108,9.802812606888816,Polygonum articulatum,21,8.293691844349121,247.35481697009925,250.6791741543216,Northern America,2506,-71.58209452177717,43.68368109221787,Herbaceous,43.68368109221787,0.34492237322624913,0.05733943650447752,Flowering
229,NWJ,Lythrum salicaria,Lythrum salicaria,972,24.658206505946687,Rhexia mariana,62,34.27137210974904,222.08331682738824,221.5842252852402,Northern America,3352,-74.66480172033789,40.18446103850985,Herbaceous,40.18446103850985,-0.019690736172329,0.017158026330381687,Flowering
230,NWJ,Lythrum salicaria,Lythrum salicaria,972,24.658206505946687,Rhexia virginica,177,26.24150366549911,222.08331682738824,217.2229693740504,Northern America,3352,-74.66480172033789,40.18446103850985,Herbaceous,40.18446103850985,-0.19500677567197572,0.006695072245813667,Flowering
231,NWJ,Reynoutria japonica,Reynoutria japonica,210,16.87172943440591,Fallopia scandens,31,23.692577419850558,242.87129891992032,244.83974523915452,Northern America,3352,-74.66480172033789,40.18446103850985,Herbaceous,40.18446103850985,0.10979926390126923,0.037044981473787444,Flowering
232,NWM,Tamarix ramosissima,Tamarix ramosissima,85,37.11653889003552,Eriogonum corymbosum,20,32.98680482457141,144.1959758276261,259.3360638538202,Northern America,5211,-106.11190496636125,34.40882163524186,Woody,34.40882163524186,3.1409526592680375,0.10874367544312892,Flowering
233,NWM,Tamarix ramosissima,Tamarix ramosissima,85,37.11653889003552,Eriogonum jamesii,261,26.115728894014723,144.1959758276261,223.40060360608965,Northern America,5211,-106.11190496636125,34.40882163524186,Woody,34.40882163524186,2.7077617454909384,0.026191461180781722,Flowering
