id,LEVEL3_COD,invasive,e.species,status.x,e.n,e.sd,e.temp_mean_30,e.temp_sd_30,e.temp_mean_30_sd,e.temp_sd_30_sd,e.reservoir_mean_30,e.reservoir_sd_30,e.reservoir_mean_30_sd,e.reservoir_sd_30_sd,e.temp_mean_60,e.temp_sd_60,e.temp_mean_60_sd,e.temp_sd_60_sd,e.reservoir_mean_60,e.reservoir_sd_60,e.reservoir_mean_60_sd,e.reservoir_sd_60_sd,e.temp_mean_90,e.temp_sd_90,e.temp_mean_90_sd,e.temp_sd_90_sd,e.reservoir_mean_90,e.reservoir_sd_90,e.reservoir_mean_90_sd,e.reservoir_sd_90_sd,n.species,status.y,n.n,n.sd,n.temp_mean_30,n.temp_sd_30,n.temp_mean_30_sd,n.temp_sd_30_sd,n.reservoir_mean_30,n.reservoir_sd_30,n.reservoir_mean_30_sd,n.reservoir_sd_30_sd,n.temp_mean_60,n.temp_sd_60,n.temp_mean_60_sd,n.temp_sd_60_sd,n.reservoir_mean_60,n.reservoir_sd_60,n.reservoir_mean_60_sd,n.reservoir_sd_60_sd,n.temp_mean_90,n.temp_sd_90,n.temp_mean_90_sd,n.temp_sd_90_sd,n.reservoir_mean_90,n.reservoir_sd_90,n.reservoir_mean_90_sd,n.reservoir_sd_90_sd,e.vector,n.vector,continent,n,longitude,latitude,growthform,latitude.abs,yi,vi,phenology
169,MLY,Sphagneticola trilobata,Sphagneticola trilobata,exotic,491,66.415600062155,299.4886395818914,0.5955312381706038,1.1526499579927978,0.1482770351838783,1.8980297681018215e-4,1.1890391319896605e-4,9.46255853510988e-5,3.758065566173664e-5,299.6840092179246,0.6052905097303689,1.162024291034111,0.17216123757058135,2.1459516574599214e-4,1.2197213128468143e-4,8.334979546484851e-5,3.7564598880493585e-5,299.7106944822893,0.5740857795189582,1.1818022253907148,0.15299637539334052,2.4175147720156788e-4,1.1810161350307546e-4,8.372256552271643e-5,3.554762336238811e-5,Youngia japonica,native,103,99.4463501390046,199.31603776752755,-96.46259363567204,1014.7226276486864,985.2919564846092,-97.07746349790382,-97.07754618315936,985.230765773561,985.2307575464613,199.35957180381206,-96.4152576203353,1014.7269742421997,985.2966721346969,-97.07744732195411,-97.07754148848457,985.2307673830492,985.2307580135764,199.34376353044726,-96.52453079792322,1014.725511130438,985.2857917248723,-97.0774387634597,-97.07754836093866,985.2307682346104,985.2307573297746,111.97202554094683,124.48135619922036,Asia-Tropical,10822,102.18021839522183,4.026861731917148,Herbaceous,4.026861731917148,-0.23707799585334627,0.011792709169586694,Flowering
170,MLY,Sphagneticola trilobata,Sphagneticola trilobata,exotic,491,66.415600062155,299.4886395818914,0.5955312381706038,1.1526499579927978,0.1482770351838783,1.8980297681018215e-4,1.1890391319896605e-4,9.46255853510988e-5,3.758065566173664e-5,299.6840092179246,0.6052905097303689,1.162024291034111,0.17216123757058135,2.1459516574599214e-4,1.2197213128468143e-4,8.334979546484851e-5,3.7564598880493585e-5,299.7106944822893,0.5740857795189582,1.1818022253907148,0.15299637539334052,2.4175147720156788e-4,1.1810161350307546e-4,8.372256552271643e-5,3.554762336238811e-5,Elephantopus scaber,native,34,87.21922618007304,-3.36836039225261,-293.50171493876337,1766.183563560973,1714.917992713558,-294.0880565950332,-294.0881279746024,1714.8143844152744,1714.814371802823,-3.2353749892290913,-293.4582434244546,1766.207060313487,1714.9256777024955,-294.08802259220096,-294.0881252849519,1714.8143904234225,1714.8143722780721,-3.2262234257716753,-293.55814051030256,1766.2086938677267,1714.9080224330326,-294.08801365880817,-294.0881385269787,1714.8143920019133,1714.8143699382654,111.97202554094683,145.48460297695874,Asia-Tropical,10822,102.18021839522183,4.026861731917148,Herbaceous,4.026861731917148,-0.6817589313856421,0.03189108671751523,Flowering
171,MRY,Lythrum salicaria,Lythrum salicaria,exotic,314,25.428447077212986,29.14579358596964,-251.28033607405823,1624.0491768646157,1578.6288414185851,-254.7515064421567,-254.75147756221466,1578.0664477896587,1578.066452466722,33.40470058821822,-251.86608324842572,1624.73544047682,1578.5340267189972,-254.75149877450139,-254.75146900219426,1578.0664490314239,1578.0664538530045,35.35250081185829,-252.58609911066364,1625.0491041142977,1578.4171962193514,-254.75149314379217,-254.75146885922666,1578.066449943309,1578.0664538761578,Rhexia mariana,native,152,28.33466342658146,292.00049098500034,3.243433977330793,4.74976352550055,0.7915570283198953,7.134138588239955e-5,1.0001321058658175e-4,3.086016473468266e-5,3.978732599373707e-5,296.1466863130268,2.771948078828639,3.0015718265583065,0.8947370171600353,7.797549286388047e-5,1.0648060692473733e-4,3.90712903320583e-5,4.098216596684776e-5,297.97664317750093,2.2127658630419824,1.4455697222103991,0.5050087947510059,9.562478515456408e-5,1.199253881217496e-4,3.942568776423019e-5,3.9959293834978994e-5,211.9412522708134,214.4341691515391,Northern America,3585,-76.7996136832807,39.05664146895961,Herbaceous,39.05664146895961,0.19623452705632768,0.009804978329634634,Flowering
172,MRY,Lythrum salicaria,Lythrum salicaria,exotic,314,25.428447077212986,29.14579358596964,-251.28033607405823,1624.0491768646157,1578.6288414185851,-254.7515064421567,-254.75147756221466,1578.0664477896587,1578.066452466722,33.40470058821822,-251.86608324842572,1624.73544047682,1578.5340267189972,-254.75149877450139,-254.75146900219426,1578.0664490314239,1578.0664538530045,35.35250081185829,-252.58609911066364,1625.0491041142977,1578.4171962193514,-254.75149314379217,-254.75146885922666,1578.066449943309,1578.0664538761578,Rhexia virginica,native,96,25.83968135606171,293.05026961432566,3.4060708687705517,4.295143923805545,0.9647783875046103,8.211643947052338e-5,1.138164927183712e-4,3.226617483762289e-5,3.573330488825128e-5,297.0290219095018,2.504817732392945,2.0717254026441436,0.5437086757461536,9.531140988398031e-5,1.2140522131561497e-4,3.6286531464220246e-5,3.3152974210876985e-5,298.2185557047526,2.1384127445509633,1.6758030047176882,0.4123565597822671,1.0267029231603296e-4,1.288945289086231e-4,4.104266234721984e-5,4.018742155153971e-5,211.9412522708134,221.71134127307232,Northern America,3585,-76.7996136832807,39.05664146895961,Herbaceous,39.05664146895961,0.18397121863110588,0.013642654931834326,Flowering
173,MRY,Reynoutria japonica,Reynoutria japonica,exotic,155,18.922230331365217,162.43850403488324,-126.1968543823701,1165.5524811048085,1132.4403063869868,-129.01925357733379,-129.01922475037802,1132.1163866559707,1132.116389962509,165.32810090095765,-126.89765295303174,1165.8821142557845,1132.3599544389024,-129.01925289615426,-129.0192243909984,1132.1163867341045,1132.1163900037313,164.48202712848624,-126.91282785995803,1165.783224630836,1132.3580722625036,-129.0192195849065,-129.01920946274467,1132.1163905550045,1132.1163917160466,Fallopia scandens,native,49,10.727669508819698,87.54034124880421,-201.73397616237364,1470.95581323524,1428.7680981588262,-204.06113450354354,-204.06110523905068,1428.4285845515667,1428.4285888193053,88.42523654237085,-202.04403441860268,1471.0835715484966,1428.7227769158462,-204.06110235489584,-204.06108497639906,1428.428589239912,1428.428591774276,86.13764312121333,-201.73781841119305,1470.749793255215,1428.7675022157562,-204.0611030311675,-204.06107615573103,1428.4285891412885,1428.428593060623,236.7842471090443,252.75157181330906,Northern America,3585,-76.7996136832807,39.05664146895961,Herbaceous,39.05664146895961,-0.06183231879472576,0.026869146844138624,Flowering
174,MSI,Pueraria montana,Pueraria montana,exotic,26,21.318568751278388,298.1310292561849,2.1513483144795766,3.3807281448903934,0.750373252531656,1.0466458284084813e-4,1.400005246975239e-4,5.0747567912134915e-5,4.747502257896528e-5,299.7312559470152,1.6480098960023286,1.587421969228353,0.40980307245225595,1.2047771287909766e-4,1.5087038726711217e-4,3.981280813780264e-5,3.0038326397888324e-5,299.9119319035457,1.6095617551491146,0.8366041691088747,0.47867335244697357,1.2461271344436188e-4,1.516262399043605e-4,4.844707686388939e-5,4.1985834559708496e-5,Strophostyles umbellata,native,75,29.85093175011853,298.61794542100694,1.9144139650404461,3.4467323858765884,0.8127071320119352,1.3773998428876175e-4,1.5940102388442426e-4,4.827666734759207e-5,3.738455799089893e-5,299.6577101372613,1.51081260957212,2.3061740378128426,0.6067428930433796,1.310125876964496e-4,1.5022269901102057e-4,4.371248575792018e-5,3.777903977106875e-5,299.49536847601996,1.563324304008056,1.6141349599226413,0.46738850843381907,1.4663789846620508e-4,1.6929714722492114e-4,6.874471780096903e-5,4.259056579452977e-5,233.29921960452566,238.59405745215963,Northern America,3345,-89.67584664443223,32.74085636595006,Herbaceous,32.74085636595006,0.6710789126674562,0.05402431192866851,Flowering
175,MSO,Lythrum salicaria,Lythrum salicaria,exotic,52,25.983467200403407,290.07420603434247,4.110737413663229,5.114685256142614,1.0622924765342157,8.121212365945406e-5,1.007825019965424e-4,2.6882601646239445e-5,3.27491509345651e-5,295.0153508504232,3.2372268559787942,4.246212845138545,1.1267312061677308,8.361549487825226e-5,1.0799313341344512e-4,3.0936236488082714e-5,3.1771761316424085e-5,298.16529228014826,2.6498340117791988,1.6283896541703777,0.8272223323193978,6.205679483523026e-5,9.237295812505734e-5,2.6639231835502856e-5,3.054371715709051e-5,Lythrum alatum,native,57,23.627690776433578,286.518025323522,4.301035769577444,4.455844079865723,0.7200370530496303,8.212477194234941e-5,1.0522754802288025e-4,3.166366885083851e-5,3.7161561497175936e-5,292.23439099049705,3.959469927815371,3.597712633308876,1.2069575926747886,1.0543960882771341e-4,0.00012851679994170574,3.781210421691517e-5,4.0808413299278474e-5,296.86032580994726,3.2007700416963303,1.912392712885612,1.171432947757824,8.741410819952603e-5,1.2355544556008068e-4,3.800896110293799e-5,4.1235842933527124e-5,201.1197965280106,181.61448108700503,Northern America,3361,-92.47097504247184,38.36321815425705,Herbaceous,38.36321815425705,0.030738846951039796,0.03677896317673552,Flowering
176,MXE,Tamarix ramosissima,Tamarix ramosissima,exotic,31,62.569277789199234,292.40700043709046,3.2429305543738254,6.221897990720778,1.4699836798375825,1.2093317718842388e-5,2.4349234323339178e-5,1.2371345943383785e-5,1.937253517386493e-5,294.78004199612525,2.981940135737791,4.840527670051948,1.1915071993922473,1.6496074120746588e-5,2.6783519469874198e-5,1.937891926383621e-5,2.742810027839923e-5,296.205128922001,2.840291690182014,3.450715412239557,1.069109924410399,2.6494128383742786e-5,3.1999933552479614e-5,5.526004356700766e-5,3.78180453730901e-5,Antigonon leptopus,native,314,82.93818273329961,263.72888871049173,-29.455315783781327,581.0335788255968,564.4130284139272,-31.84390325150244,-31.8438960502646,564.2762173108149,564.2762177185015,264.14211632795394,-29.47654492413626,581.0471779537827,564.4116004125024,-31.84389167827376,-31.843886002590057,564.2762179660173,564.2762182873363,263.71888289724944,-29.695521676312048,581.0180399305398,564.398598767348,-31.843888817751726,-31.843882744786356,564.2762181279616,564.2762184717723,139.57654099738988,239.86483587813888,Northern America,13418,-102.97602821375715,25.815236510025812,Woody,25.815236510025812,-0.058946514762207816,0.03544781367685653,Flowering
177,MXN,Tamarix ramosissima,Tamarix ramosissima,exotic,184,73.02755416074287,235.73667736329895,-52.36975229627533,758.6631480267199,737.2828129055576,-54.34237048791341,-54.342358189234005,737.1360613394027,737.136062251028,236.48615546295608,-52.33835664436779,758.7166451199707,737.2851182699696,-54.342373268951434,-54.34236399872935,737.1360611332613,737.1360618204058,237.38294885607732,-52.302276245548875,758.7799339593472,737.2878042632777,-54.34237828233846,-54.342370528967436,737.1360607616498,737.1360613363594,Frankenia palmeri,native,50,72.38694792235243,291.08206325276694,1.787840032821078,3.841080839436607,0.5356200411273271,1.195126110599746e-5,1.8565323918077083e-5,1.4563818991178309e-5,1.951634378945577e-5,290.49094665527343,1.7668524996730126,3.586355986522226,0.4645839268234184,9.424820516676996e-6,1.588085354739974e-5,1.0599323228775862e-5,1.8006414891861108e-5,290.42726072184246,1.8918441112066182,2.9926955813727667,0.5942383235184953,7.138105700223031e-6,1.1925972408227094e-5,9.058267514119315e-6,1.4522532527767462e-5,112.0340015218028,49.4945178994143,Northern America,8662,-111.30260868193743,28.457237847861663,Woody,28.457237847861663,0.08273731968556912,0.025449409668671617,Flowering
178,MXS,Spathodea campanulata,Spathodea campanulata,exotic,55,61.46602250897657,294.39677170262195,0.8851846775408448,3.2787242963703656,0.43697198482771715,1.6707796414709608e-4,1.1703685874966363e-4,1.2401581397870816e-4,5.586554504705952e-5,293.72830216841265,1.0649066731865366,2.9188653168511114,0.447595748158674,1.263108331106813e-4,9.726283141756086e-5,1.1906678612432226e-4,6.0055821533800684e-5,293.2121797318892,1.0553529551522285,3.1025667687261436,0.4693041483913697,9.505322781579891e-5,8.809897919805315e-5,1.0381024467756808e-4,6.485151734057796e-5,Tabebuia rosea,native,208,39.35161046327637,245.26441195561335,-46.950964587963696,713.7503077652038,693.3841723230768,-48.072062335477995,-48.07205293146645,693.3059114530788,693.3059121082769,245.82656303307948,-47.02266252925607,713.7891448721522,693.3792388073774,-48.072076004932015,-48.07207037450232,693.3059105006938,693.3059108929765,246.71558649601081,-47.041851796485304,713.850657918658,693.377923814041,-48.07208454447112,-48.072076482960114,693.3059099057202,693.305910467385,351.7654670856582,453.1637430421946,Northern America,16152,-100.64492462899739,18.855367918937283,Woody,18.855367918937283,-0.07763423391599444,0.023000968805624033,Flowering
